PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
MINT11;Outros;96.5;0.1323;0.19879999999999998;0.99;50180000.0;0.0;3;0.0;532.36;0.0;0.0
MMPD11;Outros;110.61;0.0762;0.091;1.02;58678300.0;0.0;0;0.0;0.0;0.0;0.0
MORC11;Títulos e Val. Mob.;89.87;0.12369999999999999;0.0138;0.92;171455000.0;0.0;0;0.0;0.0;0.0;0.0
MORE11;Títulos e Val. Mob.;76.21;0.0604;0.0;0.88;176740000.0;0.0;0;0.0;0.0;0.0;0.0
MXRF11;Híbrido;9.21;0.08960000000000001;0.12560000000000002;1.02;4027770000.0;16563600.0;3;99020.3;0.0;0.0;0.0
NAVT11;Títulos e Val. Mob.;64.5;0.1348;0.1822;0.84;39492200.0;152433.0;0;0.0;0.0;0.0;0.0
NCHB11;Títulos e Val. Mob.;7.39;0.1663;0.1642;0.77;112929000.0;156661.0;0;0.0;0.0;0.0;0.0
NCRA11;Títulos e Val. Mob.;7.04;0.24230000000000002;0.17170000000000002;0.67;31398100.0;71135.0;0;0.0;0.0;0.0;0.0
NCRI11;Títulos e Val. Mob.;7.9;0.1456;0.145;0.81;31205000.0;2198.0;0;0.0;0.0;0.0;0.0
NEWL11;Híbrido;94.2;0.1928;0.12119999999999999;0.72;265400000.0;1003220.0;3;2758.09;487.38;0.17670000000000002;0.0
NEWU11;Híbrido;76.18;0.0187;0.013600000000000001;1.07;56525600.0;317417.0;3;4033.0;434.94;0.10779999999999999;0.4702
NEXG11;Outros;127.5;0.0113;0.0758;1.29;89058800.0;126780.0;0;0.0;0.0;0.0;0.0
NPAR11;Outros;12.82;2.1332;0.0;0.7;1533140.0;0.0;0;0.0;0.0;0.0;0.0
NSLU11;Hospital;144.57;0.1313;0.1284;0.7;186970000.0;266852.0;1;7746.94;1071.48;0.1383;0.0
NVHO11;Hospital;10.93;0.1444;0.09230000000000001;0.66;453535000.0;1694.0;4;14747.6;2192.84;0.1487;0.0
OBAL11;Residencial;1213.19;-0.0379;0.1864;1.09;171398000.0;0.0;7;15009.8;0.0;0.0;0.0
OCRE11;Títulos e Val. Mob.;95.97;0.0757;0.09480000000000001;1.04;40594000.0;10695.0;0;0.0;0.0;0.0;0.0
OGHY11;Títulos e Val. Mob.;8.72;0.0732;0.0;0.92;23678100.0;0.0;0;0.0;0.0;0.0;0.0
OIAG11;Títulos e Val. Mob.;7.31;0.1555;0.1607;0.74;66031200.0;156798.0;0;0.0;0.0;0.0;0.0
ONEF11;Lajes Corporativas;200.03;0.0608;0.0;1.09;182227000.0;0.0;0;0.0;0.0;0.0;0.0
